model_name,term,edf,ref.df,statistic,p.value,dev_exp,log_likelihood,aic
1,s(NovSnow),1.0002148151006598,1.0004239738757807,5.00952202010892,0.029961263946302552,0.2840665451416944,-203.0184220572114,426.0843092517439
1,s(DecMin),1.0000460175835275,1.000087507701863,0.8665192453944031,0.35668261134709,0.2840665451416944,-203.0184220572114,426.0843092517439
1,s(WinterTempSum),1.0022159859671258,1.0040844593692149,0.052202676813694164,0.8222669981351145,0.2840665451416944,-203.0184220572114,426.0843092517439
1,s(DecTempSum),1.0000589071413308,1.0001107549094366,0.11794262951960884,0.7328879993478233,0.2840665451416944,-203.0184220572114,426.0843092517439
1,s(WinterMax),1.9855595217698792,2.496022440591532,0.5543871408910507,0.5109951339076481,0.2840665451416944,-203.0184220572114,426.0843092517439
1,s(JanMin),1.2865895416723256,1.5230034322127186,0.6165715868628758,0.6161122725921915,0.2840665451416944,-203.0184220572114,426.0843092517439
2,s(NovSnow),1.0001379886844777,1.0002729072954322,5.19194110047101,0.027167632826750554,0.27945353146032237,-203.1064247169054,423.978975783275
2,s(DecMin),1.0001131168146704,1.0002153002162797,0.8201327360912376,0.36968065143921475,0.27945353146032237,-203.1064247169054,423.978975783275
2,s(DecTempSum),1.000067376869809,1.0001268911577113,0.10471717854473016,0.7477420964908363,0.27945353146032237,-203.1064247169054,423.978975783275
2,s(WinterMax),1.97356030512936,2.4852465588945307,0.988304438070017,0.5033218059002853,0.27945353146032237,-203.1064247169054,423.978975783275
2,s(JanMin),1.2133563795041837,1.3972015171681735,0.6718767539112075,0.5701672031495304,0.27945353146032237,-203.1064247169054,423.978975783275
3,s(NovSnow),1.000217502065988,1.0004307120370661,5.209326359303474,0.02682333172054646,0.277018108255799,-203.13042329661843,422.04601789674615
3,s(DecMin),1.0000943840231247,1.0001799816960537,1.7713224396083576,0.1893754372520221,0.277018108255799,-203.13042329661843,422.04601789674615
3,s(WinterMax),1.9567541855511463,2.4674238034658553,0.9391169301139534,0.5241055120280477,0.277018108255799,-203.13042329661843,422.04601789674615
3,s(JanMin),1.2290009643068487,1.4245511545556808,0.972811064880404,0.45387637549044496,0.277018108255799,-203.13042329661843,422.04601789674615
4,s(NovSnow),1.0003688002835467,1.000731492939052,5.908701793186594,0.018594958367562475,0.23954925615056621,-204.43112154745685,420.47779624751144
4,s(DecMin),1.0000855344684627,1.000168699423471,2.3258346592910715,0.13342142320619121,0.23954925615056621,-204.43112154745685,420.47779624751144
4,s(JanMin),1.4603722665838017,1.8068763839363506,1.3236472955883236,0.3719392374174732,0.23954925615056621,-204.43112154745685,420.47779624751144
5,s(NovSnow),1.1667888927382406,1.3147040414424036,4.566168810377007,0.02180789330707683,0.2091116193878938,-212.15067646493696,432.93243262482844
5,s(DecMin),1.0004181973607815,1.000835806034857,5.985703729355184,0.017701320020004796,0.2091116193878938,-212.15067646493696,432.93243262482844
