model_name,term,edf,ref.df,statistic,p.value,dev_exp,log_likelihood,aic
1,s(AprMax),1.000067244235607,1.0001297814639791,20.480047187641112,2.620320098190021e-5,0.640205446908324,-239.95825854360825,503.8603097308916
1,s(SpringTempSum),1.0001279689111893,1.0002483240187225,1.2074363259466192,0.2758498815180241,0.640205446908324,-239.95825854360825,503.8603097308916
1,s(MayTempSum),1.0001496728503927,1.0002896938721677,0.5754151927052233,0.4508695263835752,0.640205446908324,-239.95825854360825,503.8603097308916
1,s(MayMin),1.1953953831986006,1.3627098039721206,9.863425074870571,0.0031074274552179704,0.640205446908324,-239.95825854360825,503.8603097308916
1,s(SpringSnow),2.354406425409149,2.9621397205740356,2.273471647717531,0.086535477245136,0.640205446908324,-239.95825854360825,503.8603097308916
1,s(AprMin),1.3658172733962939,1.6463555028565997,1.3479625697081867,0.362120930694825,0.640205446908324,-239.95825854360825,503.8603097308916
1,s(MarMax),1.000011871163537,1.0000234950799052,0.09227409277443678,0.7622791173716118,0.640205446908324,-239.95825854360825,503.8603097308916
2,s(AprMax),1.0000089997718216,1.0000173798187095,19.926997080272947,3.152001626138823e-5,0.6407996906754089,-243.20013366053732,509.10421755907856
2,s(SpringTempSum),1.0000926397538787,1.0001788605705986,7.1484520305743615,0.00938465448248782,0.6407996906754089,-243.20013366053732,509.10421755907856
2,s(MayTempSum),1.000214251982325,1.000413444446522,0.9385246864539906,0.33613191589483765,0.6407996906754089,-243.20013366053732,509.10421755907856
2,s(MayMin),1.2558080970391994,1.4647215316686037,9.205113932278415,0.004415427875301303,0.6407996906754089,-243.20013366053732,509.10421755907856
2,s(SpringSnow),2.3401356251302188,2.9464957445550803,2.7996512400661597,0.046775590140920253,0.6407996906754089,-243.20013366053732,509.10421755907856
2,s(AprMin),1.5623754384596615,1.9401481579424573,1.6253681521019903,0.25798142345738195,0.6407996906754089,-243.20013366053732,509.10421755907856
3,s(AprMax),1.0000858029509634,1.0001655716009528,19.418502648276398,3.8030708838787675e-5,0.6367573009476439,-243.5736383149828,508.2059726227881
3,s(SpringTempSum),1.0001653759576745,1.0003188373689802,6.315207997882365,0.014306442087413329,0.6367573009476439,-243.5736383149828,508.2059726227881
3,s(MayMin),1.3498596556374158,1.6162332769499748,9.258608960617886,0.004296305070135953,0.6367573009476439,-243.5736383149828,508.2059726227881
3,s(SpringSnow),2.2736081202286114,2.872088659946435,2.68862340998264,0.05435911933363585,0.6367573009476439,-243.5736383149828,508.2059726227881
3,s(AprMin),1.6341879054596853,2.040541650544946,1.0236804310496053,0.35291177981200333,0.6367573009476439,-243.5736383149828,508.2059726227881
4,s(AprMax),1.0000195831397234,1.0000386718097845,19.136845064132157,4.0806497862755364e-5,0.614399766180289,-248.59025900564106,512.8477133725776
4,s(SpringTempSum),1.0001248972696837,1.000248421669656,5.90456119413859,0.01759416032998451,0.614399766180289,-248.59025900564106,512.8477133725776
4,s(MayMin),1.0008125346031747,1.001616313293123,9.9405923851138,0.0023587205228725594,0.614399766180289,-248.59025900564106,512.8477133725776
4,s(SpringSnow),2.2302057822861823,2.8316942738751703,2.638197862149515,0.05390204755129874,0.614399766180289,-248.59025900564106,512.8477133725776
5,s(AprMax),5.0640717025100255,6.185064980509242,6.121231752124281,2.8246014778354755e-5,0.6394099391881983,-246.0837822351056,513.5745532695856
5,s(SpringTempSum),1.0010700744096492,1.0020827552997515,4.911905333871695,0.029915851090562995,0.6394099391881983,-246.0837822351056,513.5745532695856
5,s(MayMin),1.2836874737888753,1.5163466638782483,9.761547715054514,0.00404601527545434,0.6394099391881983,-246.0837822351056,513.5745532695856
