model_name,term,edf,ref.df,statistic,p.value,dev_exp,log_likelihood,aic
1,s(AprTempSum),1.0289027410683458,1.0569620290456594,0.07078462087331648,0.8217219028247698,0.439976841933468,-216.9419847856338,450.3952889468103
1,s(AprMax),1.0001580476652663,1.000311760604767,4.289000571083134,0.043862523998079384,0.439976841933468,-216.9419847856338,450.3952889468103
1,s(MayMin),1.0000380656038677,1.000075926380742,4.4282547652665665,0.04072498091077126,0.439976841933468,-216.9419847856338,450.3952889468103
1,s(DecTempSum),1.7658520932645203,2.198152992941067,3.4968490294794927,0.032675861916235394,0.439976841933468,-216.9419847856338,450.3952889468103
1,s(MayTempSum),1.000079317515467,1.000156978799111,1.6281317394172685,0.2082152739472929,0.439976841933468,-216.9419847856338,450.3952889468103
2,s(AprMax),1.0001043526355256,1.0002069619321226,14.606954428725627,3.741104132352624e-4,0.43379172199398797,-220.68790606672474,455.81416731302613
2,s(MayMin),1.000045779604576,1.0000914054135208,5.502243713913147,0.02308327577525704,0.43379172199398797,-220.68790606672474,455.81416731302613
2,s(DecTempSum),1.780154828791878,2.21881070534955,3.9182637894887282,0.021722146443934276,0.43379172199398797,-220.68790606672474,455.81416731302613
2,s(MayTempSum),1.0000345383809388,1.000068517093129,2.086553590088745,0.15495727701487716,0.43379172199398797,-220.68790606672474,455.81416731302613
3,s(AprMax),1.000107596721104,1.000213396572192,12.458031394436496,9.037164574517975e-4,0.40651944054794986,-221.92418741345912,455.9385635129871
3,s(MayMin),1.0000735585654041,1.0001469724988419,3.52665576607727,0.066228846912112,0.40651944054794986,-221.92418741345912,455.9385635129871
3,s(DecTempSum),1.6470546856152477,2.04473397396341,3.434458225496194,0.03804988002438353,0.40651944054794986,-221.92418741345912,455.9385635129871
4,s(AprMax),1.0001772986662876,1.000343985322853,13.59483187055917,5.968964107094799e-4,0.5089907919886367,-216.97382590483735,455.7437986839767
4,s(MayMin),1.0001036633803921,1.0002030336410057,6.785346869413819,0.012336939497721078,0.5089907919886367,-216.97382590483735,455.7437986839767
4,s(DecTempSum),1.9324078502148954,2.4025348173100523,3.779597369889349,0.020921125669135288,0.5089907919886367,-216.97382590483735,455.7437986839767
4,s(MayTempSum),1.3614508631013482,1.635620516755432,1.5543944018026463,0.1532077350915046,0.5089907919886367,-216.97382590483735,455.7437986839767
4,s(SpringSnow),2.281243613003012,2.8593710841216646,1.39930255454508,0.21553112497421978,0.5089907919886367,-216.97382590483735,455.7437986839767
5,s(AprMax),1.0000509781100593,1.0001001118199933,10.645615056186207,0.002035478777194455,0.45511008254499985,-219.6957089575314,456.85332265122673
5,s(MayMin),1.0001959486754763,1.000389145781345,3.407322095978935,0.07108045686262743,0.45511008254499985,-219.6957089575314,456.85332265122673
5,s(DecTempSum),1.795515721317614,2.234338856464901,3.204302050413112,0.04019518117967491,0.45511008254499985,-219.6957089575314,456.85332265122673
5,s(SpringSnow),1.988102250845163,2.496124254015731,0.9903073836938113,0.3521370438846194,0.45511008254499985,-219.6957089575314,456.85332265122673
