,Year,IceOnDate,IceOnJulian,IceOffDate,IceOffJulian,AnnualMax,AnnualMin,AnnualRain,AnnualSnow,SnowDepth,SpringMax,SpringMin,SpringRain,SpringSnow,SummerMax,SummerMin,SummerRain,SummerSnow,FallMax,FallMin,FallRain,FallSnow,WinterMax,WinterMin,WinterRain,WinterSnow
23,1949,,NA,16-May,136,28.33333333,-40.55555556,222.3803305,285.8736695,1168.4,18.88888889,-30,36.38829376,63.68770619,26.11111111,0,94.87643503,0.373564999,26.11111111,-28.33333333,67.00839052,73.19960938,3.333333333,-40.55555556,0.819419594,149.0405805
24,1950,,NA,,NA,28.33333333,-38.33333333,224.6094998,410.6445002,1244.6,15.55555556,-29.44444444,18.40774607,125.864254,28.33333333,-3.333333333,108.5573187,5.234681179,21.66666667,-17.22222222,76.61529842,67.91070159,8.333333333,-38.33333333,3.398507656,178.2114923
25,1951,26-Dec,360,18-May,138,26.66666667,-45,289.8547961,283.6772038,1473.2,18.33333333,-36.11111111,41.90349862,70.11050138,24.44444444,-6.111111111,124.4383221,15.26167789,28.33333333,-28.88888889,78.36492399,91.30707598,7.777777778,-45,0.822443307,149.0375567
26,1952,25-Dec,359,16-May,136,24.44444444,-36.11111111,227.7422048,214.7257951,1498.6,18.33333333,-34.44444444,49.45635259,57.47764737,26.66666667,-10,212.01443,10.23556994,20.55555556,-26.66666667,35.11442424,54.29357575,5,-36.11111111,0.604629523,149.2553704
27,1953,11-Jan,376,20-May,140,26.11111111,-36.11111111,127.995959,254.5280409,1066.8,17.22222222,-32.22222222,40.11691599,97.55108401,24.44444444,-5,168.8868436,1.547156436,22.22222222,-28.88888889,8.794379085,6.445620915,6.111111111,-36.11111111,4.009311292,129.5946887
28,1954,21-Dec,355,18-May,138,27.22222222,-34.44444444,208.6844664,270.6135335,1524,22.22222222,-34.44444444,44.23937385,83.77662612,26.11111111,-3.888888889,53.65830447,4.761695461,21.11111111,-18.88888889,30.21142725,22.62057275,5,-32.22222222,1.867965056,133.0060349
29,1955,14-Dec,348,27-May,147,31.66666667,-37.22222222,233.6462334,386.6217664,1422.4,19.44444444,-37.22222222,45.57612719,95.64787273,27.22222222,-7.222222222,139.8647425,24.98125742,23.33333333,-25,22.71238499,28.84961501,3.333333333,-37.22222222,18.52907974,182.3849203
30,1956,23-Dec,357,25-May,145,31.66666667,-43.33333333,132.4759641,299.5780357,1498.6,22.77777778,-38.88888889,33.96682245,95.57317751,31.66666667,-5.555555556,98.4323335,9.009666447,26.11111111,-34.44444444,71.10869299,99.57930699,3.333333333,-43.33333333,1.076116664,146.2438833
31,1957,31-Dec,365,29-May,149,26.66666667,-41.11111111,78.9888294,243.0831705,1143,20.55555556,-29.44444444,33.06933571,74.11866425,31.66666667,-5.555555556,70.34757935,0.518420556,28.33333333,-27.77777778,27.08544561,57.24255438,5.555555556,-41.11111111,4.154039073,130.7199609
32,1958,2-Jan,367,21-May,141,26.66666667,-33.33333333,193.3128758,246.6151241,1930.4,22.22222222,-28.33333333,35.96294516,87.48105489,26.66666667,-3.333333333,18.51932387,0.02267613,22.77777778,-26.66666667,23.24613075,38.2218693,9.444444444,-33.33333333,2.678455347,91.04754461
33,1959,18-Dec,352,27-May,147,27.22222222,-36.66666667,178.6654167,235.8625833,1549.4,17.77777778,-31.66666667,48.93600982,80.09599018,26.66666667,-2.777777778,137.341946,0.580053891,20,-25,17.32952928,67.50647072,6.111111111,-36.66666667,1.701725084,97.10427484
34,1960,11-Dec,345,22-May,122,29.44444444,-37.77777778,204.1487139,245.4312859,1727.2,19.44444444,-31.11111111,54.03347142,80.33252855,27.22222222,-2.777777778,85.3119396,1.048060413,23.33333333,-32.77777778,42.71574218,57.61425782,5.555555556,-37.77777778,0.375996416,97.16000355
35,1961,10-Dec,344,27-May,147,28.88888889,-38.33333333,284.2521783,291.5658216,1981.2,21.11111111,-25.55555556,54.41232852,60.39567143,29.44444444,-4.444444444,127.337488,2.456511861,23.88888889,-25,22.40175807,65.48224197,4.444444444,-38.33333333,3.197650961,128.628349
36,1962,12-Jan,377,21-May,121,25.55555556,-43.88888889,306.989038,277.718962,1879.6,17.22222222,-31.11111111,69.28590317,78.03409685,28.88888889,-2.222222222,146.4511872,0.106812776,20.55555556,-23.33333333,80.19101164,102.4349884,7.222222222,-43.88888889,18.48236775,142.0456322
37,1963,8-Jan,373,30-May,150,27.22222222,-45.55555556,301.0287227,207.9872774,1828.8,18.33333333,-31.11111111,69.23466656,75.54533345,25.55555556,-6.111111111,172.05358,12.85842004,22.22222222,-19.44444444,47.16718707,44.78081295,9.444444444,-45.55555556,5.711984151,90.30001587
38,1964,18-Dec,352,29-May,149,27.22222222,-38.88888889,204.5225634,322.7814365,1955.8,18.88888889,-32.22222222,37.9026569,84.52534303,27.22222222,-3.888888889,127.9837445,1.302255522,24.44444444,-17.77777778,98.09832747,40.83967253,5,-38.88888889,12.26589992,181.7901001
39,1965,16-Jan,381,28-May,148,25,-42.22222222,167.9376662,307.0423337,1498.6,15,-41.11111111,51.22532098,78.31467899,27.22222222,-4.444444444,128.8404495,14.41555045,20.55555556,-25,25.51355705,42.05044293,5.555555556,-42.22222222,1.054773122,165.0612269
40,1966,22-Dec,356,21-May,141,28.33333333,-36.11111111,218.6350248,235.7709752,1828.8,21.66666667,-36.11111111,37.93814667,74.58385334,25,-3.888888889,61.43664501,1.809354948,18.33333333,-19.44444444,54.2209271,61.85707287,2.222222222,-33.88888889,1.648025069,107.0639749
41,1967,15-Dec,349,31-May,151,26.11111111,-33.88888889,270.2584006,293.8755996,1981.2,19.44444444,-33.88888889,25.32799364,64.33400636,28.33333333,-5,74.9296302,3.302369831,26.11111111,-21.66666667,104.1192228,50.82077715,3.888888889,-33.33333333,2.20314023,170.0088598
42,1968,21-Dec,355,2-Jun,153,26.11111111,-37.77777778,189.0144486,181.5715512,1854.2,18.88888889,-26.66666667,13.99685487,55.09114513,26.11111111,-3.888888889,151.7391486,1.422851511,22.77777778,-25.55555556,90.98811812,58.10988191,7.222222222,-37.77777778,3.97560302,98.89439686
43,1969,28-Dec,362,17-May,137,32.77777778,-32.22222222,272.2295532,249.4864468,1854.2,21.66666667,-32.22222222,13.69020189,27.4577981,26.11111111,-3.333333333,168.9162109,3.29578914,6.111111111,-22.77777778,2.125779851,24.29022006,5,-32.22222222,14.00810033,187.6678996
44,1970,14-Dec,348,4-Jun,155,29.44444444,-38.33333333,132.4246115,314.6153885,1701.8,20.55555556,-30,43.57539512,115.9366049,32.77777778,-3.333333333,199.5277703,10.78422971,24.44444444,-23.33333333,45.00348062,23.57651937,4.444444444,-38.33333333,3.651360208,134.2706397
45,1971,28-Dec,362,31-May,151,28.88888889,-38.33333333,129.3366862,318.465314,1803.4,21.11111111,-36.11111111,30.55676351,98.22123656,29.44444444,-2.222222222,78.72917406,0.010825946,5.555555556,-23.88888889,6.468682151,64.39731789,5,-38.33333333,2.918093398,185.5499066
46,1972,10-Dec,344,2-Jun,153,28.33333333,-41.11111111,235.2843695,251.6336304,1625.6,18.33333333,-30,29.41472979,53.13527018,28.88888889,-3.888888889,52.01908664,0.050913352,21.66666667,-21.11111111,43.84274262,34.64325743,4.444444444,-41.11111111,4.212888073,124.057112
47,1973,24-Dec,358,27-May,147,26.66666667,-39.44444444,162.9452945,238.8827054,1701.8,20.55555556,-28.33333333,19.65454429,51.46545568,28.33333333,-5.555555556,124.2471097,2.752890327,21.11111111,-27.77777778,77.409642,71.68835791,5,-39.44444444,0.756902914,92.96909718
48,1974,1-Jan,366,27-May,147,27.77777778,-40,100.131427,272.994573,1981.2,15.55555556,-38.33333333,19.83562318,124.6903768,26.66666667,-7.222222222,85.1426266,4.773373408,23.33333333,-22.22222222,57.39122073,89.67477916,6.666666667,-40,3.92085648,111.3951435
49,1975,,NA,7-Jun,158,27.77777778,-41.11111111,199.0432596,414.3667403,2006.6,16.11111111,-32.77777778,19.78195018,106.7100498,27.77777778,-7.777777778,53.76791372,11.00208622,23.33333333,-19.44444444,22.60703358,25.90696641,7.222222222,-41.11111111,1.984651871,145.0813481
50,1976,,NA,21-May,141,27.22222222,-37.77777778,91.52473525,160.9512647,1651,8.888888889,-37.22222222,1.495760324,55.14623968,27.77777778,-6.666666667,142.2464523,11.67754773,23.33333333,-32.77777778,35.03020531,150.8977946,3.888888889,-37.77777778,0.394921131,84.18707887
51,1977,21-Dec,355,13-May,133,31.11111111,-37.22222222,71.59217374,72.17182624,1727.2,21.66666667,-34.44444444,4.415029766,39.01897027,27.22222222,-8.333333333,56.00783733,13.84216263,24.44444444,-16.66666667,33.62621647,7.775783532,6.111111111,-37.22222222,0.007064869,31.99693512
52,1978,28-Dec,362,17-May,137,27.77777778,-41.11111111,74.6791651,116.8368349,1879.6,NA,NA,0,0,31.11111111,-6.111111111,67.17007911,1.155920863,NA,NA,0,0,0,-41.11111111,0.070301542,65.71569842
53,1979,29-Dec,363,27-May,147,28.33333333,-41.11111111,140.2738295,196.5301704,1828.8,18.33333333,-30.55555556,14.44689394,58.95910609,27.77777778,-2.777777778,31.19233533,0.557664703,23.88888889,-25.55555556,43.41652823,50.56347178,7.777777778,-41.11111111,1.845913756,86.0380863
54,1980,12-Jan,377,10-May,130,27.22222222,-40,280.5626847,296.2713156,1752.6,19.44444444,-28.88888889,57.18520121,102.0727988,28.33333333,-6.666666667,107.8908457,7.425154158,25,-28.88888889,16.09017612,44.10782388,8.333333333,-40,5.23066326,166.2193368
55,1981,7-Jan,372,19-May,139,26.66666667,-41.11111111,291.1015187,292.8444812,1778,17.22222222,-21.66666667,101.050227,82.591773,27.22222222,-3.888888889,132.7617249,6.176275267,23.33333333,-21.66666667,85.38509537,21.8029046,8.888888889,-41.11111111,2.763427551,112.0445724
56,1982,15-Dec,349,26-May,146,27.77777778,-42.22222222,230.2885836,334.6074168,1828.8,18.88888889,-27.77777778,41.15275733,118.3592428,26.66666667,-5.555555556,131.824703,7.113297021,24.44444444,-22.22222222,55.46316112,91.09483885,5.555555556,-42.22222222,6.867890651,122.9261094
57,1983,22-Dec,356,30-May,150,27.77777778,-41.11111111,229.265559,294.228441,1625.6,20,-27.77777778,8.964554813,66.47344518,27.77777778,-5.555555556,128.3592494,7.276750645,22.77777778,-26.11111111,53.90868617,86.04531386,6.666666667,-41.11111111,0.965501427,162.8644985
58,1984,6-Dec,340,31-May,151,26.11111111,-33.33333333,208.8901673,172.3638328,1803.4,21.11111111,-33.33333333,16.46488119,45.00311877,27.77777778,-5.555555556,90.86514374,3.876856222,25,-23.33333333,128.470359,61.01364104,2.777777778,-32.22222222,0.412417361,44.03758272
59,1985,11-Dec,345,21-May,141,28.33333333,-45.55555556,291.5654838,277.140516,1905,20,-33.88888889,44.0356614,96.68033856,26.11111111,-7.222222222,160.1545287,7.99347133,22.22222222,-22.77777778,31.85834007,75.32966002,2.777777778,-45.55555556,0.009624472,52.31437549
60,1986,16-Dec,350,4-Jun,155,26.11111111,-32.22222222,227.2745276,420.1714725,2006.6,23.88888889,-27.22222222,28.57532194,108.0766781,28.33333333,-6.666666667,195.3207165,11.94328338,18.88888889,-28.33333333,52.19948142,116.2025186,8.888888889,-32.22222222,7.109776805,188.9782232
61,1987,24-Dec,358,8-May,128,26.11111111,-31.66666667,232.6397985,144.0422014,1803.4,22.77777778,-27.77777778,73.79465073,45.07734926,26.11111111,-4.444444444,144.2128686,1.075131465,21.11111111,-29.44444444,47.37656027,122.0414397,5,-31.66666667,1.663285445,78.34671462
62,1988,18-Dec,352,19-May,139,29.44444444,-37.22222222,118.6540851,247.3599148,1854.2,21.11111111,-31.11111111,40.95215401,90.61984595,26.11111111,-5,150.1024808,3.313519143,23.33333333,-18.88888889,7.07938159,17.3046184,8.888888889,-37.22222222,0.241535632,66.81446437
63,1989,30-Dec,364,18-May,138,30,-38.88888889,187.8266014,283.8513988,1981.2,18.33333333,-38.88888889,25.80118049,123.2968196,29.44444444,-3.333333333,54.89693072,7.079069254,25,-25.55555556,22.56346477,82.84653523,5.555555556,-37.77777778,0.292332256,107.1496678
64,1990,21-Dec,355,20-May,140,27.77777778,-41.66666667,246.962342,195.5056577,1676.4,16.11111111,-25.55555556,34.40640155,39.76159845,30,-5.555555556,112.2803897,1.00361031,22.77777778,-21.11111111,49.45269899,52.401301,6.666666667,-41.66666667,0.386414275,108.3255857
65,1991,17-Dec,351,1-Jun,152,27.22222222,-39.44444444,232.9112049,256.5467948,1930.4,16.11111111,-30.55555556,81.00228864,132.1037114,27.77777778,-3.333333333,162.4474204,3.414579518,25.55555556,-20,49.72210582,44.00389409,7.222222222,-39.44444444,1.033764509,49.76623541
66,1992,4-Jan,369,8-May,128,26.66666667,-33.33333333,216.8079985,216.7700016,1955.8,21.11111111,-22.77777778,51.6839169,66.1720831,27.22222222,-3.888888889,86.77691798,0.599081931,26.66666667,-29.44444444,64.09823379,74.07776614,6.666666667,-33.33333333,1.478882221,78.27711772
67,1993,27-Dec,361,28-May,148,23.33333333,-33.33333333,251.361152,225.9048479,1828.8,21.66666667,-31.66666667,56.78527755,85.45472246,26.66666667,-7.777777778,113.1664766,12.05552351,21.11111111,-22.77777778,50.4787228,60.26527724,5,-33.33333333,0.464879747,97.57912025
68,1994,25-Dec,359,16-May,136,27.77777778,-33.33333333,226.9401691,256.1678311,1981.2,20,-23.33333333,62.42235872,42.98764132,23.33333333,-5.555555556,176.2008668,23.44313317,22.22222222,-28.88888889,17.91012792,19.42787202,6.111111111,-33.33333333,1.583066649,147.5149334
69,1995,1-Dec,335,3-Jun,154,27.22222222,-35.55555556,227.8828625,341.3311376,1803.4,15,-27.22222222,45.1636601,140.51034,27.77777778,-5,121.2005178,6.307482305,23.88888889,-26.11111111,41.73422595,59.35777408,7.222222222,-35.55555556,5.003095409,118.6949046
70,1996,19-Dec,353,3-Jun,154,27.77777778,-40.55555556,192.5894451,346.3985549,2082.8,15.55555556,-28.88888889,64.08888387,147.4931161,27.22222222,-5,149.1558257,4.768174276,25.55555556,-23.88888889,28.56028127,77.35771875,5.555555556,-40.55555556,1.531469274,102.8625308
71,1997,26-Dec,360,20-May,140,26.11111111,-33.88888889,276.6798762,203.3801235,1295.4,15.55555556,-25.55555556,33.7559454,61.24005456,27.77777778,-8.888888889,83.62767637,1.716323584,25,-21.11111111,43.34141558,94.32658445,3.333333333,-33.88888889,11.73551872,96.4684812
72,1998,26-Jan,391,15-May,135,28.88888889,-36.66666667,222.5948593,269.4031407,1447.8,18.88888889,-27.22222222,39.0237291,78.32427091,26.11111111,-2.222222222,180.0605193,0.279480566,24.44444444,-20,51.1278928,45.3921072,6.111111111,-36.66666667,0.678062949,112.3519371
73,1999,26-Dec,360,29-May,149,26.11111111,-31.11111111,235.7312274,356.3427726,1422.4,18.88888889,-31.11111111,28.38378177,113.3482182,28.88888889,-5,141.8057321,10.59426792,26.66666667,-19.44444444,41.0873351,68.13266484,6.666666667,-31.11111111,0.357520138,195.4764799
74,2000,27-Dec,361,6-May,126,30.55555556,-30,166.783089,297.020911,NA,16.66666667,-27.22222222,70.83579983,97.05820018,26.11111111,-5.555555556,167.2981149,18.62988507,20.55555556,-19.44444444,39.69181054,28.88818946,6.111111111,-30,0.699612518,163.6383875
75,2001,24-Dec,358,15-May,135,28.88888889,-35,145.3137183,267.1822818,1219.2,23.88888889,-27.22222222,39.35106168,110.7629384,30.55555556,-5.555555556,58.29875314,1.645246857,26.66666667,-23.33333333,36.94892351,34.67907649,4.444444444,-35,0.146197635,89.26180242
