Year,MinJan,MaxJan,PrecipJan,MinFeb,MaxFeb,PrecipFeb,MinMar,MaxMar,PrecipMar,MinApr,MaxApr,PrecipApr,MinMay,MaxMay,PrecipMay,MinJun,MaxJun,PrecipJun,MinJul,MaxJul,PrecipJul,MinAug,MaxAug,PrecipAug,MinSep,MaxSep,PrecipSep,MinOct,MaxOct,PrecipOct,MinNov,MaxNov,PrecipNov,MinDec,MaxDec,PrecipDec,MaxSnowDepth_cm
1923,-32.8,17.2,7.7216,-52.8,22.2,3.2512,-49.8,32.2,1.651,-20.8,33.2,4.5974,-6.8,48.2,5.6134,3.2,54.2,0.127,19.2,63.2,3.8608,13.2,59.2,1.1684,3.2,54.2,2.9718,-14.8,43.2,2.3876,-25.8,28.2,1.016,-48.8,14.2,5.8928,117
1924,-48.8,16.2,2.5908,-38.8,22.2,3.4544,-46.8,20.2,4.1148,-24.8,36.2,1.016,-8.8,48.2,0.3556,2.2,55.2,1.2192,12.2,63.2,4.5974,10.2,60.2,1.4732,0.2,57.2,5.0038,-3.8,38.2,5.207,-23.8,33.2,3.937,-65.8,20.2,5.4356,99
1925,-46.8,18.2,6.0452,-41.8,19.2,8.8138,-25.8,27.2,4.3688,-8.8,33.2,4.1656,-7.8,50.2,8.6614,9.2,57.2,7.7978,14.2,65.2,4.3434,6.2,56.2,7.5438,7.2,51.2,5.1562,-11.8,39.2,4.191,-16.8,23.2,4.7498,-29.8,17.2,1.8288,130
1926,-37.8,13.2,1.143,-35.8,21.2,3.429,-36.8,32.2,0.5334,-12.8,40.2,4.6228,4.2,48.2,4.8768,8.2,64.2,2.8194,12.2,62.2,2.54,12.2,61.2,6.9088,-13.8,47.2,1.9304,-8.8,41.2,0.2794,-27.8,28.2,4.2672,-52.8,24.2,2.5654,102
1927,-63.8,23.2,4.826,-53.8,21.2,1.9558,-35.8,20.2,0.3048,-16.8,39.2,2.2098,-7.8,47.2,4.3688,8.2,58.2,4.6228,9.2,65.2,3.81,4.2,57.2,6.0706,5.2,55.2,7.239,-12.8,50.2,3.6576,-16.8,32.2,8.5344,-44.8,27.2,2.9464,135
1928,-42.8,27.2,2.8194,-48.8,24.2,2.413,-50.8,40.2,3.8608,-35.8,37.2,4.1148,-1.8,47.2,1.2954,7.2,63.2,11.3284,15.2,60.2,6.2738,8.2,63.2,2.032,2.2,60.2,0.8382,-6.8,47.2,1.5748,-27.8,27.2,2.3622,-33.8,21.2,2.0066,127
1929,-54.8,12.2,4.3688,-57.8,11.2,1.6764,-36.8,31.2,3.2004,-28.8,32.2,3.3528,-13.8,45.2,3.302,5.2,62.2,4.2926,11.2,65.2,2.7432,15.2,66.2,5.461,2.2,58.2,3.556,-7.8,44.2,4.7244,-42.8,24.2,2.3876,-31.8,34.2,4.7752,102
1930,-66.8,14.2,2.2098,-30.8,29.2,1.7018,-45.8,30.2,1.905,-19.8,44.2,1.651,-6.8,53.2,4.318,9.2,57.2,4.7244,11.2,65.2,2.3876,12.2,58.2,9.779,3.2,53.2,2.6924,-13.8,37.2,4.6482,-22.8,33.2,2.3876,-37.8,18.2,0.8128,94
1931,-32.8,7.2,0.5588,-38.8,18.2,1.143,-41.8,28.2,2.7686,-24.8,34.2,2.159,-7.8,51.2,3.048,11.2,60.2,4.0132,7.2,68.2,1.6764,5.2,63.2,2.8448,0,0,0,-9.8,50.2,2.4384,-31.8,36.2,2.2352,-37.8,23.2,2.5654,66
1932,-47.8,14.2,3.3528,-48.8,27.2,1.7272,-51.8,24.2,3.81,-31.8,32.2,1.7018,2.2,49.2,5.6134,6.2,64.2,6.8326,12.2,61.2,5.7658,4.2,61.2,1.9304,1.2,59.2,1.4732,-12.8,47.2,1.7526,-29.8,26.2,3.4798,-51.8,19.2,2.413,109
1933,-34.8,10.2,4.9276,-73.8,12.2,2.5908,-39.8,28.2,1.2192,-29.8,34.2,2.286,-7.8,48.2,3.1496,8.2,64.2,1.4986,16.2,67.2,1.2192,3.2,65.2,5.4356,2.2,58.2,3.4544,-2.8,51.2,0.0508,-22.8,29.2,0.9652,-23.8,26.2,4.1148,91
1934,-31.8,15.2,1.905,-29.8,24.2,1.7272,-23.8,34.2,4.3688,-24.8,55.2,2.1082,-0.8,56.2,1.905,7.2,55.2,10.7442,13.2,63.2,4.8768,3.2,63.2,3.7846,-2.8,63.2,3.2512,1.2,49.2,1.2446,-14.8,39.2,2.3114,-23.8,17.2,3.7592,71
1935,-48.8,19.2,1.8542,-48.8,25.2,1.4478,-34.8,34.2,5.6388,-29.8,37.2,5.9944,-11.8,52.2,2.8448,8.2,63.2,0.7112,4.2,67.2,0.9398,0.2,65.2,1.2446,1.2,55.2,1.4478,-14.8,48.2,1.778,-26.8,20.2,1.2954,-30.8,14.2,0.7874,122
1936,-49.8,13.2,4.1148,-57.8,18.2,4.318,-44.8,24.2,4.1402,-37.8,45.2,4.064,3.2,49.2,2.3622,11.2,64.2,4.2672,18.2,67.2,3.6068,7.2,60.2,4.5466,-5.8,55.2,1.6764,-7.8,49.2,1.5748,-31.8,30.2,1.1176,-26.8,20.2,2.4638,135
1937,0,0,0,-60.8,14.2,4.5212,-36.8,26.2,2.4892,0,0,0,-7.8,50.2,1.6256,3.2,60.2,5.2832,14.2,65.2,6.6548,7.2,64.2,0.8128,-1.8,59.2,6.5278,-2.8,45.2,2.5146,-21.8,31.2,3.7338,0,0,0,97
1938,-42.8,18.2,6.6802,-38.8,28.2,4.9276,0,0,0,0,0,0,0,0,0,0,0,0,16.2,61.2,9.8806,9.2,62.2,2.5146,9.2,55.2,2.0828,-11.8,46.2,7.9756,-41.8,18.2,4.0894,0,0,0,109
1939,0,0,0,0,0,0,0,0,0,-23.8,42.2,3.6322,3.2,53.2,2.5146,7.2,52.2,8.3312,14.2,62.2,0.9144,6.2,61.2,1.778,1.2,53.2,3.6322,0.2,42.2,2.8448,-12.8,32.2,0,-27.8,30.2,0.9906,48
