MinJan,MeanJan,MaxJan,RainJan,SnowJan,MinFeb,MeanFeb,MaxFeb,RainFeb,SnowFeb,MinMar,MeanMar,MaxMar,RainMar,SnowMar,MinApr,MeanApr,MaxApr,RainApr,SnowApr,MinMay,MeanMay,MaxMay,RainMay,SnowMay,MinJun,MeanJun,MaxJun,RainJun,SnowJun,MinJul,MeanJul,MaxJul,RainJul,SnowJul,MinAug,MeanAug,MaxAug,RainAug,SnowAug,MinSep,MeanSep,MaxSep,RainSep,SnowSep,MinOct,MeanOct,MaxOct,RainOct,SnowOct,MinNov,MeanNov,MaxNov,RainNov,SnowNov,MinDec,MeanDec,MaxDec,RainDec,SnowDec,AnnualMin,AnnualMean,AnnualMax,AnnualRain,AnnualSnow
-40,-11.16923077,1.7,0,0,-26.1,-7.337931034,5,0,0,-28.3,-4.119354839,10.6,0,0,-15,0.233333333,13.9,0,0,-8.9,5.383870968,20,8.8,0.4,-2.8,10.81,26.7,25.8,4.4,-2.2,13.59333333,27.2,8.4,0,-2.2,13.54333333,30,10.8,0,-2.2,9.553333333,25,41.5,1,-5.6,4.567741935,18.3,3.6,8.1,-28.9,-6.313333333,6.7,3.3,36.4,-28.9,-7.47,7.8,0.1,15.1,-40,1.944413408,30,102.3,65.4
-27.8,-10.776,1.7,0,19.7,-27.8,-9.136363636,5,0,0,-28.3,-4.109677419,9.4,3.6,7,-20.6,-0.364285714,12.8,0,0,-11.7,4.4,18.9,84.5,21.2,-2.8,9.17,24.4,39.3,0.6,2.2,13.07419355,25.6,27.5,0,0,12.09677419,26.1,95.9,0.2,-7.2,4.834482759,17.8,25.4,10.4,0,#DIV/0!,0,0,0,-28.9,-5.08,6.1,8.4,73.8,-24.4,-7.293548387,4.4,10.7,64.5,-28.9,1.0830721,26.1,295.3,197.4
-41.7,-13.82903226,5,0.2,29.3,-41.7,-13.45555556,-1.1,0,34.2,-30,-9.046666667,7.2,0.3,20.4,-16.1,0.217241379,13.3,20.1,18.5,-10,1.809677419,17.2,24.1,49.5,-3.3,6.834482759,18.3,15.4,0.8,-0.6,12.83548387,27.8,19.5,0,0,#DIV/0!,0,0,0,-7.8,7.196551724,23.9,7.5,0.3,-12.8,1.941935484,18.3,11.6,7.1,-21.1,-5.53,7.8,5.1,95.9,-30,-8.533333333,3.9,0,14.5,-41.7,-1.441455696,27.8,103.8,270.5
-46.1,#DIV/0!,0,0,0,-31.7,#DIV/0!,0,0,0,-41.7,-2.571428571,7.2,3.1,30.2,-12.2,1.86,15,30.4,40.3,-17.8,2.016666667,18.3,14.8,47.9,-4.4,6.843333333,22.8,29.2,10.3,-1.7,12.28387097,26.7,22.1,0,-3.3,12.20333333,26.7,35,1.2,-7.8,7.986666667,22.2,22.2,0.1,-8.9,2.979310345,18.3,22.9,27.2,0,#DIV/0!,0,0,0,0,#DIV/0!,0,0,0,-46.1,6.343317972,26.7,179.7,157.2
0,#DIV/0!,0,0,0,0,#DIV/0!,0,0,0,0,#DIV/0!,0,0,0,0,#DIV/0!,0,0,0,-6.1,4.678571429,18.3,25.8,14.3,-2.2,7.766666667,21.7,102.6,5.7,3.3,13.88888889,24.4,58.9,0,-2.8,14.19677419,25.6,5,0,0,#DIV/0!,0,0,0,-8.3,3.693548387,16.1,17.6,5,-25,-4.137931034,8.9,4.9,28.7,-28.3,-8.348387097,3.3,0.1,22.3,-28.3,4.400518135,25.6,214.9,76
-27.8,-8.433333333,2.8,0.3,17.2,-35,-9.746428571,2.8,1.1,42.9,-30,-6.519354839,11.1,5.7,34.1,-31.7,-4.603333333,12.2,3,29.9,-8.3,3.722580645,17.2,47,24.5,-6.7,6.446428571,22.2,83.4,16.6,-4.4,10.66333333,26.1,32.7,0.1,-6.7,11.65483871,26.1,100,0.1,-11.7,5.666666667,21.7,34.5,37,-16.1,3.226666667,17.2,13.9,4.2,-22.2,-4.83,6.7,3.1,48.4,-34.4,-10.33548387,2.2,1,53.2,-35,-0.243055556,26.1,325.7,308.2
-30,-12.73666667,1.7,0,34.8,-31.1,-10.16071429,5.6,0.4,22.4,-23.3,-4.34,10.6,3.9,52.2,-13.9,1.217857143,15.6,3.5,12.4,-8.9,3.15483871,16.1,29.7,4.4,-3.9,9.251724138,23.9,13.7,0.6,-0.6,13.52666667,28.3,34.8,0,-3.9,11.71290323,27.2,38.6,0,-8.3,6.365517241,21.7,48.5,1.6,-14.4,-1.05483871,15.6,24.3,50.6,-20,-4.71,9.4,1.9,29.5,-31.7,-7.112903226,4.4,3.9,50,-31.7,0.453631285,28.3,203.2,258.5
-37.8,-13.91290323,0.6,0.1,29.8,-35,-9.75,6.7,1.2,22.2,-35.6,-5.851612903,9.4,2.9,47,-23.9,-1.914285714,14.4,6.1,28.3,-6.7,5.234482759,20,13.9,3.5,-3.9,6.443333333,20.6,63.7,5.5,-3.3,12.93333333,26.7,30.7,0,-3.3,11.42,26.1,48.8,0,-5.6,9.075862069,24.4,65.8,3.7,-8.9,4.164516129,17.2,18.8,8.2,-25.6,-6.963333333,15.6,5.3,74.7,0,#DIV/0!,0,0,0,-37.8,0.977981651,26.7,257.3,222.9
-42.8,-12.93870968,2.8,2,43.8,-37.2,-10.09310345,5.6,0.7,40.9,-38.3,-10.15806452,5,1,42.3,-22.8,-2.010344828,13.3,7.9,43.6,-8.9,5.54,17.8,1.1,2.5,0,10.06896552,22.8,39.7,0.3,1.1,14.48333333,25,28.2,0,0.6,14.84444444,26.1,27.3,0,-7.2,8.68,26.1,47.2,0.3,-13.3,2.525925926,18.3,12.8,10.2,-28.3,-8.555172414,6.7,6.9,62.7,-35.6,-12.85483871,0,0.4,80.5,-42.8,-0.607507508,26.1,175.2,327.1
-38.3,-18.46451613,-2.2,0,28.9,-40.6,-11.95714286,3.3,0.7,73.4,-30,-6.161290323,7.8,1.8,46.1,-23.3,0.206666667,13.9,9.7,12.9,-6.7,5.051612903,18.9,24.7,4.6,-3.3,8.203333333,22.8,69.9,4.8,-2.8,12.28064516,26.7,14.8,0,-1.1,12.45483871,28.3,24.1,0,-6.7,7.864285714,21.7,48.8,10.1,-12.2,0.407692308,15.6,18.5,31.1,-17.2,-0.306666667,17.2,9.1,26.7,-26.7,-9.567741935,3.3,0,46.8,-40.6,0.00698324,28.3,222.1,285.4
